LSOA.code,LSOA.name,Population.all,Population.female,Population.male
E01007975,Sheffield 051A,"1,644",837,807
E01007976,Sheffield 051B,"1,461",768,693
E01007977,Sheffield 051C,"1,575",758,817
E01007979,Sheffield 051D,"1,858","1,039",819
E01008099,Sheffield 051E,"1,606",770,836
E01008000,Sheffield 052A,"1,451",740,711
E01008001,Sheffield 052B,"1,538",785,753
E01008004,Sheffield 052C,"1,615",846,769
E01008005,Sheffield 052D,"1,538",776,762
E01008010,Sheffield 052E,"1,444",783,661
E01007978,Sheffield 053A,"1,589",781,808
E01007980,Sheffield 053B,"1,552",817,735
E01007981,Sheffield 053C,"1,604",768,836
E01007983,Sheffield 053D,"1,504",747,757
E01007985,Sheffield 053E,"1,517",777,740
E01007982,Sheffield 054A,"1,921",928,993
E01008002,Sheffield 054B,"1,542",784,758
E01008003,Sheffield 054C,"1,387",728,659
E01008006,Sheffield 054D,"1,485",776,709
E01007927,Sheffield 055A,"1,679",867,812
E01007928,Sheffield 055B,"1,761",913,848
E01007929,Sheffield 055C,"1,789",908,881
E01007930,Sheffield 055D,"1,423",746,677
E01007932,Sheffield 055E,"1,386",737,649
E01007939,Sheffield 055F,"1,586",823,763
E01008028,Sheffield 056A,"1,552",818,734
E01008029,Sheffield 056B,"1,487",753,734
E01008032,Sheffield 056C,"1,339",703,636
E01008034,Sheffield 056D,"1,702",908,794
E01007828,Sheffield 059A,"1,761",960,801
E01007829,Sheffield 059B,"1,485",764,721
E01007831,Sheffield 059C,"1,459",732,727
E01007832,Sheffield 059D,"1,525",771,754
E01007986,Sheffield 059E,"1,370",712,658
E01008007,Sheffield 060A,"1,812",886,926
E01008075,Sheffield 060B,"1,539",821,718
E01008076,Sheffield 060C,"1,397",728,669
E01008077,Sheffield 060D,"1,557",833,724
E01008031,Sheffield 061A,"1,402",726,676
E01008033,Sheffield 061B,"1,235",630,605
E01008038,Sheffield 061C,"1,425",748,677
E01008040,Sheffield 061D,"1,680",873,807
E01007835,Sheffield 062A,"1,453",760,693
E01007836,Sheffield 062B,"1,570",797,773
E01007843,Sheffield 062C,"1,696",895,801
E01007846,Sheffield 062D,"1,468",770,698
E01008030,Sheffield 063A,"1,375",701,674
E01008035,Sheffield 063B,"1,135",548,587
E01008036,Sheffield 063C,"1,359",655,704
E01008041,Sheffield 063D,"1,394",722,672
E01007827,Sheffield 064A,"1,484",732,752
E01007830,Sheffield 064B,"1,479",770,709
E01007833,Sheffield 064C,"1,549",827,722
E01007984,Sheffield 064D,"1,451",705,746
E01008078,Sheffield 064E,"1,405",733,672
E01008079,Sheffield 064F,"1,293",637,656
E01008019,Sheffield 065A,"1,896",969,927
E01008020,Sheffield 065B,"1,368",681,687
E01008022,Sheffield 065C,"1,467",723,744
E01008027,Sheffield 065D,"1,574",812,762
E01008037,Sheffield 065E,"1,334",726,608
E01008039,Sheffield 065F,"1,186",621,565
E01007824,Sheffield 066A,"1,327",693,634
E01007825,Sheffield 066B,"1,494",771,723
E01007826,Sheffield 066C,"1,427",748,679
E01007834,Sheffield 066D,"1,601",836,765
E01007920,Sheffield 068A,"1,646",849,797
E01007921,Sheffield 068B,"1,615",884,731
E01007923,Sheffield 068C,"1,875",987,888
E01007925,Sheffield 068D,"1,727",907,820
E01007926,Sheffield 068E,"1,688",880,808
E01007933,Sheffield 068F,"1,576",790,786
E01007823,Sheffield 069A,"1,705",860,845
E01007916,Sheffield 069B,"1,634",881,753
E01007919,Sheffield 069C,"1,748",925,823
E01008080,Sheffield 069D,"1,509",781,728
E01008081,Sheffield 070A,"1,522",738,784
E01008082,Sheffield 070B,"1,581",848,733
E01008083,Sheffield 070C,"1,591",830,761
E01008084,Sheffield 070D,"1,702",891,811
E01007915,Sheffield 071A,"1,414",759,655
E01007917,Sheffield 071B,"1,541",775,766
E01007918,Sheffield 071C,"1,688",876,812
E01007922,Sheffield 071D,"1,353",705,648
E01007924,Sheffield 071E,"1,629",826,803
E01008021,Sheffield 072A,"1,461",733,728
E01008023,Sheffield 072B,"2,111","1,044","1,067"
E01008024,Sheffield 072C,"1,786",942,844
E01008025,Sheffield 072D,"1,990","1,029",961
E01032585,Sheffield 072E,"1,384",712,672
E01033261,Sheffield 073A,"3,072","1,375","1,697"
E01033262,Sheffield 073B,"3,530","1,114","2,416"
E01033263,Sheffield 073C,"1,686",810,876
E01033264,Sheffield 073D,"2,565","1,299","1,266"
E01033276,Sheffield 073E,"5,156","2,095","3,061"
E01008114,Sheffield 074A,"3,465","1,607","1,858"
E01008115,Sheffield 074B,"1,828",770,"1,058"
E01033265,Sheffield 074C,"1,685",721,964
E01033266,Sheffield 074D,"2,296","1,067","1,229"
E01033267,Sheffield 074E,"1,547",773,774
E01007878,Sheffield 075A,"1,720",705,"1,015"
E01007879,Sheffield 075B,"1,592",718,874
E01007881,Sheffield 075C,"1,620",779,841
E01007882,Sheffield 075D,"1,702",689,"1,013"
E01007885,Sheffield 075E,"1,820",946,874
E01007886,Sheffield 075F,"1,656",915,741
E01033268,Sheffield 075G,"3,471","1,522","1,949"
E01007838,Sheffield 076A,"1,524",765,759
E01007839,Sheffield 076B,"1,595",808,787
E01007841,Sheffield 076C,"1,511",820,691
E01007842,Sheffield 076D,"1,524",786,738
E01033278,Sheffield 076E,"2,671","1,413","1,258"
E01033279,Sheffield 076F,"2,221","1,171","1,050"
